countrycode,country,year,incomeClass
BGR,Bulgaria,2000,LM
BGR,Bulgaria,2001,LM
BGR,Bulgaria,2002,LM
BGR,Bulgaria,2003,LM
BGR,Bulgaria,2004,LM
BGR,Bulgaria,2005,LM
BGR,Bulgaria,2006,LM
BGR,Bulgaria,2007,LM
BGR,Bulgaria,2008,UM
BGR,Bulgaria,2009,UM
BGR,Bulgaria,2010,UM
BGR,Bulgaria,2011,UM
BGR,Bulgaria,2012,UM
BGR,Bulgaria,2013,UM
BGR,Bulgaria,2014,UM
BFA,Burkina Faso,1991,L
BFA,Burkina Faso,1992,L
BFA,Burkina Faso,1993,L
BFA,Burkina Faso,1994,L
BFA,Burkina Faso,1995,L
BFA,Burkina Faso,1996,L
BFA,Burkina Faso,1997,L
BFA,Burkina Faso,1998,L
BFA,Burkina Faso,1999,L
BFA,Burkina Faso,2000,L
BFA,Burkina Faso,2001,L
BFA,Burkina Faso,2002,L
BFA,Burkina Faso,2003,L
BFA,Burkina Faso,2004,L
BFA,Burkina Faso,2005,L
BFA,Burkina Faso,2006,L
BFA,Burkina Faso,2007,L
BFA,Burkina Faso,2008,L
BFA,Burkina Faso,2009,L
BFA,Burkina Faso,2010,L
BFA,Burkina Faso,2011,L
BFA,Burkina Faso,2012,L
BFA,Burkina Faso,2013,L
BFA,Burkina Faso,2014,L
BDI,Burundi,1991,L
BDI,Burundi,1992,L
BDI,Burundi,1993,L
BDI,Burundi,1994,L
BDI,Burundi,1995,L
BDI,Burundi,1996,L
BDI,Burundi,1997,L
BDI,Burundi,1998,L
BDI,Burundi,1999,L
BDI,Burundi,2000,L
BDI,Burundi,2001,L
BDI,Burundi,2002,L
BDI,Burundi,2003,L
BDI,Burundi,2004,L
BDI,Burundi,2005,L
BDI,Burundi,2006,L
BDI,Burundi,2007,L
BDI,Burundi,2008,L
BDI,Burundi,2009,L
BDI,Burundi,2010,L
BDI,Burundi,2011,L
BDI,Burundi,2012,L
BDI,Burundi,2013,L
BDI,Burundi,2014,L
CPV,Cabo Verde,1991,LM
CPV,Cabo Verde,1992,LM
CPV,Cabo Verde,1993,LM
CPV,Cabo Verde,1994,LM
CPV,Cabo Verde,1995,LM
CPV,Cabo Verde,1996,LM
CPV,Cabo Verde,1997,LM
CPV,Cabo Verde,1998,LM
CPV,Cabo Verde,1999,LM
CPV,Cabo Verde,2000,LM
CPV,Cabo Verde,2001,LM
CPV,Cabo Verde,2002,LM
CPV,Cabo Verde,2003,LM
CPV,Cabo Verde,2004,LM
CPV,Cabo Verde,2005,LM
CPV,Cabo Verde,2006,LM
CPV,Cabo Verde,2007,LM
CPV,Cabo Verde,2008,LM
CPV,Cabo Verde,2009,LM
CPV,Cabo Verde,2010,LM
CPV,Cabo Verde,2011,LM
CPV,Cabo Verde,2012,LM
CPV,Cabo Verde,2013,LM
CPV,Cabo Verde,2014,LM
KHM,Cambodia,1993,L
KHM,Cambodia,1994,L
KHM,Cambodia,1995,L
KHM,Cambodia,1996,L
KHM,Cambodia,1997,L
KHM,Cambodia,1998,L
KHM,Cambodia,1999,L
KHM,Cambodia,2000,L
KHM,Cambodia,2001,L
KHM,Cambodia,2002,L
KHM,Cambodia,2003,L
KHM,Cambodia,2004,L
KHM,Cambodia,2005,L
KHM,Cambodia,2006,L
KHM,Cambodia,2007,L
KHM,Cambodia,2008,L
KHM,Cambodia,2009,L
KHM,Cambodia,2010,L
KHM,Cambodia,2011,L
KHM,Cambodia,2012,L
KHM,Cambodia,2013,L
KHM,Cambodia,2014,L
CMR,Cameroon,1991,LM
CMR,Cameroon,1992,LM
CMR,Cameroon,1993,LM
CMR,Cameroon,1994,LM
CMR,Cameroon,1995,LM
CMR,Cameroon,1996,L
CMR,Cameroon,1997,L
CMR,Cameroon,1998,L
CMR,Cameroon,1999,L
CMR,Cameroon,2000,L
CMR,Cameroon,2001,L
CMR,Cameroon,2002,L
CMR,Cameroon,2003,L
CMR,Cameroon,2004,L
CMR,Cameroon,2005,L
CMR,Cameroon,2006,L
CMR,Cameroon,2007,LM
CMR,Cameroon,2008,LM
CMR,Cameroon,2009,LM
CMR,Cameroon,2010,LM
CMR,Cameroon,2011,LM
CMR,Cameroon,2012,LM
CMR,Cameroon,2013,LM
CMR,Cameroon,2014,LM
CAN,Canada,1991,H
CAN,Canada,1992,H
CAN,Canada,1993,H
CAN,Canada,1994,H
CAN,Canada,1995,H
CAN,Canada,1996,H
CAN,Canada,1997,H
CAN,Canada,1998,H
CAN,Canada,1999,H
CAN,Canada,2000,H
CAN,Canada,2001,H
CAN,Canada,2002,H
CAN,Canada,2003,H
CAN,Canada,2004,H
CAN,Canada,2005,H
CAN,Canada,2006,H
CAN,Canada,2007,H
CAN,Canada,2008,H
CAN,Canada,2009,H
CAN,Canada,2010,H
CAN,Canada,2011,H
CAN,Canada,2012,H
CAN,Canada,2013,H
CAN,Canada,2014,H
CAF,Central African Republic,1991,L
CAF,Central African Republic,1992,L
CAF,Central African Republic,1993,L
CAF,Central African Republic,1994,L
CAF,Central African Republic,1995,L
CAF,Central African Republic,1996,L
CAF,Central African Republic,1997,L
CAF,Central African Republic,1998,L
CAF,Central African Republic,1999,L
CAF,Central African Republic,2000,L
CAF,Central African Republic,2001,L
CAF,Central African Republic,2002,L
CAF,Central African Republic,2003,L
CAF,Central African Republic,2004,L
CAF,Central African Republic,2005,L
CAF,Central African Republic,2006,L
CAF,Central African Republic,2007,L
CAF,Central African Republic,2008,L
CAF,Central African Republic,2009,L
CAF,Central African Republic,2010,L
CAF,Central African Republic,2011,L
CAF,Central African Republic,2012,L
CAF,Central African Republic,2013,L
CAF,Central African Republic,2014,L
TCD,Chad,1991,L
TCD,Chad,1992,L
TCD,Chad,1993,L
TCD,Chad,1994,L
TCD,Chad,1995,L
TCD,Chad,1996,L
TCD,Chad,1997,L
TCD,Chad,1998,L
TCD,Chad,1999,L
TCD,Chad,2000,L
TCD,Chad,2001,L
TCD,Chad,2002,L
TCD,Chad,2003,L
TCD,Chad,2004,L
TCD,Chad,2005,L
TCD,Chad,2006,L
TCD,Chad,2007,L
TCD,Chad,2008,L
TCD,Chad,2009,L
TCD,Chad,2010,L
TCD,Chad,2011,L
TCD,Chad,2012,L
TCD,Chad,2013,L
TCD,Chad,2014,L
CHL,Chile,1991,LM
CHL,Chile,1992,LM
CHL,Chile,1993,LM
CHL,Chile,1994,LM
CHL,Chile,1995,UM
CHL,Chile,1996,UM
CHL,Chile,1997,UM
CHL,Chile,1998,UM
CHL,Chile,1999,UM
CHL,Chile,2000,UM
CHL,Chile,2001,UM
CHL,Chile,2002,UM
CHL,Chile,2003,UM
CHL,Chile,2004,UM
CHL,Chile,2005,UM
CHL,Chile,2006,UM
CHL,Chile,2007,UM
CHL,Chile,2008,UM
CHL,Chile,2009,UM
CHL,Chile,2010,UM
CHL,Chile,2011,UM
CHL,Chile,2012,UM
CHL,Chile,2013,UM
CHL,Chile,2014,H
CHN,China,1991,L
CHN,China,1992,L
CHN,China,1993,L
CHN,China,1994,L
CHN,China,1995,L
CHN,China,1996,L
CHN,China,1997,L
CHN,China,1998,L
CHN,China,1999,LM
CHN,China,2000,L
CHN,China,2001,LM
CHN,China,2002,LM
CHN,China,2003,LM
CHN,China,2004,LM
CHN,China,2005,LM
CHN,China,2006,LM
CHN,China,2007,LM
CHN,China,2008,LM
CHN,China,2009,LM
CHN,China,2010,LM
CHN,China,2011,LM
CHN,China,2012,UM
CHN,China,2013,UM
CHN,China,2014,UM
COL,Colombia,1991,LM
COL,Colombia,1992,LM
COL,Colombia,1993,LM
COL,Colombia,1994,LM
COL,Colombia,1995,LM
COL,Colombia,1996,LM
COL,Colombia,1997,LM
COL,Colombia,1998,LM
COL,Colombia,1999,LM
COL,Colombia,2000,LM
COL,Colombia,2001,LM
COL,Colombia,2002,LM
COL,Colombia,2003,LM
COL,Colombia,2004,LM
COL,Colombia,2005,LM
COL,Colombia,2006,LM
COL,Colombia,2007,LM
COL,Colombia,2008,LM
COL,Colombia,2009,LM
COL,Colombia,2010,UM
COL,Colombia,2011,UM
COL,Colombia,2012,UM
COL,Colombia,2013,UM
COL,Colombia,2014,UM
COM,Comoros,1991,L
COM,Comoros,1992,L
COM,Comoros,1993,L
COM,Comoros,1994,L
COM,Comoros,1995,L
COM,Comoros,1996,L
COM,Comoros,1997,L
COM,Comoros,1998,L
COM,Comoros,1999,L
COM,Comoros,2000,L
COM,Comoros,2001,L
COM,Comoros,2002,L
COM,Comoros,2003,L
COM,Comoros,2004,L
